iter	Passed	Remaining
1239	210984	44238
1240	211140	44065
1241	211339	43901
1242	211499	43729
1243	211660	43557
1244	211815	43383
1245	211987	43214
1246	212170	43046
1247	212346	42877
1248	212523	42708
1249	212700	42540
1250	212874	42370
1251	213065	42204
1252	213233	42033
1253	213420	41867
1254	213606	41700
1255	213802	41534
1256	213991	41368
1257	214161	41197
1258	214336	41028
1259	214517	40860
1260	214712	40694
1261	214903	40528
1262	215089	40361
1263	215267	40192
1264	215474	40028
1265	215685	39866
1266	215853	39695
1267	216029	39525
1268	216179	39351
1269	216336	39179
1270	216493	39006
1271	216655	38834
1272	216812	38661
1273	216971	38489
1274	217137	38318
1275	217311	38148
1276	217480	37978
1277	217640	37806
1278	217792	37632
1279	217971	37463
1280	218164	37297
1281	218349	37129
1282	218533	36961
1283	218711	36792
1284	218874	36621
1285	219052	36451
1286	219231	36283
1287	219420	36115
1288	219608	35948
1289	219783	35778
1290	219950	35607
1291	220107	35435
1292	220266	35263
1293	220423	35090
1294	220584	34918
1295	220758	34749
1296	220923	34577
1297	221082	34405
1298	221233	34232
1299	221398	34061
1300	221555	33888
1301	221715	33717
1302	221876	33545
1303	222053	33376
1304	222234	33207
1305	222437	33042
1306	222617	32873
1307	222794	32703
1308	222967	32533
1309	223165	32367
1310	223347	32198
1311	223528	32029
1312	223699	31859
1313	223886	31691
1314	224069	31523
1315	224261	31355
1316	224452	31188
1317	224624	31017
1318	224812	30849
1319	224996	30681
1320	225183	30513
1321	225359	30343
1322	225529	30172
1323	225716	30004
1324	225890	29834
1325	226053	29663
1326	226216	29491
1327	226362	29318
1328	226518	29145
1329	226676	28973
1330	226831	28801
1331	226985	28628
1332	227141	28456
1333	227301	28284
1334	227474	28114
1335	227642	27944
1336	227821	27774
1337	228000	27605
1338	228192	27437
1339	228379	27269
1340	228563	27100
1341	228739	26930
1342	228924	26761
1343	229112	26593
1344	229308	26425
1345	229502	26258
1346	229686	26089
1347	229860	25918
1348	230035	25748
1349	230219	25579
1350	230417	25412
1351	230600	25243
1352	230787	25074
1353	230953	24903
1354	231122	24732
1355	231282	24561
1356	231438	24388
1357	231595	24216
1358	231753	24045
1359	231911	23873
1360	232062	23700
1361	232218	23528
1362	232382	23357
1363	232539	23185
1364	232705	23014
1365	232886	22845
1366	233063	22675
1367	233229	22504
1368	233414	22335
1369	233605	22166
1370	233784	21997
1371	233938	21825
1372	234097	21653
1373	234258	21482
1374	234418	21310
1375	234585	21140
1376	234741	20968
1377	234909	20797
1378	235098	20628
1379	235282	20459
1380	235470	20290
1381	235663	20121
1382	235836	19951
1383	236022	19782
1384	236200	19612
1385	236387	19443
1386	236557	19272
1387	236737	19102
1388	236921	18933
1389	237110	18764
1390	237291	18594
1391	237486	18425
1392	237676	18256
1393	237867	18087
1394	238048	17917
1395	238228	17747
1396	238418	17578
1397	238602	17408
1398	238782	17238
1399	238935	17066
1400	239095	16895
1401	239261	16724
1402	239429	16553
1403	239598	16382
1404	239764	16211
1405	239928	16040
1406	240090	15869
1407	240252	15698
1408	240408	15526
1409	240577	15356
1410	240729	15184
1411	240881	15012
1412	241042	14841
1413	241200	14669
1414	241368	14499
1415	241530	14328
1416	241688	14156
1417	241847	13985
1418	241999	13813
1419	242159	13642
1420	242321	13471
1421	242482	13300
1422	242637	13129
1423	242815	12959
1424	242998	12789
1425	243168	12618
1426	243344	12448
1427	243511	12277
1428	243694	12107
1429	243857	11937
1430	244014	11765
1431	244178	11595
1432	244339	11424
1433	244514	11253
1434	244683	11083
1435	244859	10912
1436	245033	10742
1437	245202	10571
1438	245392	10402
